,comment_text,target
0,inject her pure fantasy character     melanie carmichael     with a massive infusion of old     fashioned hollywood magic ,1
1,just more of the same     done with noticeably less energy and imagination ,0
2,is definitely its screenplay     both for the rhapsodic dialogue that jumps off the page     and for the memorable character creations ,1
3,monotone narration ,0
4,a thoughtful and surprisingly affecting portrait of a screwed     up man who dared to mess with some powerful people     ,1
5,that it      s hardly over before it begins to fade from memory ,0
6,had their hearts in the right place     ,1
7,worst way ,0
8,clumsiness ,0
9,a much more successful translation than its most famous previous film adaptation ,1
10,not being able to enjoy a mindless action movie ,0
11,balances real     time rhythms ,1
12,    but i believe a movie can be mindless without being the peak of all things insipid     ,0
13,suited to a night in the living room than a night at the movies ,0
14,wreckage ,0
15,fights the good fight in vietnam ,1
16,raise audience      s spirits and ,1
17,feel as if we      re seeing something purer than the real thing ,1
18,chin      s film serves up with style and empathy ,1
19,a kind of ghandi gone bad ,0
20,no fantasy story ,1
21,overdoing ,0
22,it looks good     but it is essentially empty     ,0
23,girlfriends are bad     wives are worse and babies are the kiss of death in this bitter italian comedy     ,0
24,little more than a mall movie designed to kill time ,0
25,predictable and cloying     though brown sugar is so earnest in its yearning for the days before rap went nihilistic that it summons more spirit and bite than your average formulaic romantic quadrangle     ,1
26,    the experience of actually watching the movie is less compelling than the circumstances of its making     ,0
27,of minor shortcomings ,0
28,bloody ,0
29,comedy ,1
30,too much norma rae ,0
31,tired     unimaginative and derivative ,0
32,a sucker ,0
33,    and beautifully edited     ,1
34,certainly not without merit ,1
35,makes these lives count     ,1
36,a whip     smart sense of narrative bluffs ,1
37,big heart ,1
38,veers ,0
39,by men of marginal intelligence ,0
40,ca n     t rescue this effort ,0
41,is found in its ability to spoof both black and white stereotypes equally ,1
42,you are n     t very bright ,0
43,loved on first sight and     even more important ,1
44,an unabashedly romantic picture ,1
45,stylistic austerity and forcefulness ,1
46,whose boozy     languid ,0
47,too intensely focused on the travails of being hal hartley to function as pastiche     no such thing is hartley      s least accessible screed yet     ,0
48,skip this turd ,0
49,more of     spirit     perception     conviction ,1
50,the rest of the cast comes across as stick figures reading lines from a teleprompter     ,0
51,everywhere will forgive the flaws and love the film     ,1
52,makes its point ,1
53,sugary sentiment and withholds delivery ,0
54,a mediocre exercise in target demographics     unaware that it      s the butt of its own joke     ,0
55,out by an adult who      s apparently been forced by his kids to watch too many barney videos ,0
56,funny     ,1
57,a major waste ,0
58,worth telling ,1
59,many pleasures ,1
60,could have given audiences the time of day by concentrating on the elements of a revealing alienation among a culture of people who sadly are at hostile odds with one another through recklessness and retaliation ,1
61,fascinating stories ,1
62,who could too easily become comic relief in any other film            ,1
63,nolan      s penetrating undercurrent of cerebral and cinemantic flair lends     it     stimulating depth     ,1
64,o fantasma is boldly     confidently orchestrated     aesthetically and sexually     and its impact is deeply and rightly disturbing     ,1
65,satire lucky break ,1
66,of tumbleweeds blowing through the empty theaters ,0
67,a mess ,0
