,comment_text,target
0,telling the story     which is paper     thin and decidedly unoriginal ,0
1,this modern mob music drama ,1
2,a dream image ,1
3,have all the suspense of a 20     car pileup     while the plot holes are big enough for a train car to drive through            if kaos had n     t blown them all up ,0
4,mean     spirited and wryly ,0
5,elephant feces ,0
6,to be compelling     amusing and unsettling at the same time ,1
7,a sharp script and strong performances ,1
8,which has been held hostage by generic scripts that seek to remake sleepless in seattle again and again ,0
9,to see a chinese film depict a homosexual relationship in a mature and frank fashion ,1
10,more mindless ,0
11,genre thrills ,1
12,a country skunk ,0
13,an honesty and dignity that breaks your heart ,1
14,perfectly pitched between comedy and tragedy     hope and despair     about schmidt instead comes far closer than many movies to expressing the way many of us live            someplace between consuming self     absorption and insistently demanding otherness     ,1
15,when twentysomething hotsies make movies about their lives     hard     driving narcissism is a given     but what a world we      d live in if argento      s hollywood counterparts           had this much imagination and nerve     ,1
16,happy ,1
17,     s not nearly as fresh or enjoyable as its predecessor ,0
18,bitter ,0
19,it      s refreshing to see a romance this smart     ,1
20,a dearth ,1
21,b     movie scum ,0
22,interesting than any of the character dramas     which never reach satisfying conclusions ,1
23,vaporize from your memory minutes ,0
24,the movie is a lumbering load of hokum but ,0
25,just another generic drama ,0
26,wilson and murphy ,1
27,roman polanski may have been born to make ,1
28,     s the little nuances that perhaps had to escape from director mark romanek      s self     conscious scrutiny to happen     that finally get under your skin ,0
29,featuring an oscar     worthy performance ,1
30,the franchise      s best years are long past ,0
31,makin       a fool of himself ,0
32,classy ,1
33,loud     chaotic and ,0
34,preserves tosca      s intoxicating ardor ,1
35,as darkly funny     energetic     ,1
36,work            is charming ,1
37,left the theater ,0
38,stuck under my seat trying to sneak out of the theater ,0
39,so bland that even as rogue cia assassins working for chris cooper      s agency boss close in on the resourceful amnesiac     we do n     t feel much for damon     bourne or his predicament ,0
40,long after this film has ended ,1
41,menace ,0
42,cruelty and suffering ,0
43,an amusing and unexpectedly insightful examination of sexual jealousy     resentment and the fine ,1
44,is nicely shot     well     edited and features a standout performance by diane lane     ,1
45,the same love story ,0
46,there surrender     9 and ,0
47,colorful     energetic and sweetly whimsical           the rare sequel that      s better than its predecessor     ,1
48,since freddy got fingered ,0
49,the slapstick is labored     and ,0
50,prepare ,1
51,is proven that no amount of imagination     no creature     no fantasy story and no incredibly outlandish scenery ,0
52,try to surprise us with plot twists ,1
53,works the way a good noir should ,1
54,got to hand it to director george clooney for biting off such a big job the first time out ,1
55,one good idea ,1
56,haphazard     and inconsequential romantic ,0
57,this one is not nearly as dreadful as expected     ,1
58,a different and emotionally reserved type ,0
59,it      s impossible to even categorize this as a smutty guilty pleasure     ,0
60,is that it      s also one of the smartest ,1
61,was only a matter of time before some savvy producer saw the potential success inherent in the mixture of bullock bubble and hugh goo     ,1
62,satisfyingly scarifying     ,1
63,be as simultaneously funny     offbeat and heartwarming     without a thick shmear of the goo     at least     ,1
64,with its subject matter in a tasteful     intelligent manner     rather than forcing us to endure every plot contrivance that the cliché     riddled genre can offer ,1
65,straightforward and old     fashioned in the best possible senses of both those words ,1
66,shallow and glib ,0
67,what lee does so marvelously compelling is present brown as a catalyst for the struggle of black manhood in restrictive and chaotic america           sketchy but nevertheless gripping portrait of jim brown     a celebrated wonder in the spotlight ,1
68,is still a deeply moving effort to put a human face on the travail of thousands of vietnamese     ,1
69,time bombs and ,0
70,crafty and ,1
71,vivid     convincing performances ,1
72,a lame kiddie flick ,0
73,good to be bad ,1
74,it      s pretentious in a way that verges on the amateurish     ,0
75,corpse ,0
76,low     brow ,0
77,an assurance worthy ,1
78,is meaningful or memorable ,1
79,was long     intricate     star     studded and visually flashy ,1
80,a complete waste of time ,0
81,as it stands     crocodile hunter has the hurried     badly cobbled look of the 1959 godzilla     which combined scenes of a japanese monster flick with canned shots of raymond burr commenting on the monster      s path of destruction     ,0
82,awkward hybrid ,0
83,finery ,1
84,clever     amusing and unpredictable ,1
85,a chuckle ,1
86,feels like the logical     unforced continuation of the careers of a pair of spy kids ,1
87,the last days ,0
88,it may be because teens are looking for something to make them laugh     ,1
89,what a reckless squandering ,0
90,is a movie so insecure about its capacity to excite that it churns up not one but two flagrantly fake thunderstorms to underscore the action     ,0
91,is a career     defining revelation     ,1
92,speaks eloquently about the symbiotic relationship between art and life     ,1
93,a rollicking adventure for you and all your mateys     regardless of their ages ,1
94,less than ,0
95,the absurdity ,0
96,fails     ,0
97,is more in love with strangeness than excellence ,0
98,manufactured to claim street credibility ,0
99,snappy ,1
100,amused and entertained by the unfolding of bielinsky      s cleverly constructed scenario ,1
101,gets drawn into the party     ,1
102,is more like something from a bad clive barker movie ,0
103,the unmistakable stamp of authority ,1
104,certainly appeal to asian cult cinema fans and asiaphiles interested to see what all the fuss is about     ,1
105,is somewhat satisfying ,1
106,groggy ,0
107,is there a group of more self     absorbed women than the mother and daughters featured in this film     ,0
108,in by the sympathetic characters ,1
109,stanley kwan has directed not only one of the best gay love stories ever made     but one of the best love stories of any stripe     ,1
110,what      s worse     routine ,0
111,relegated to a dark video store corner ,0
112,doze off during this one ,0
113,not everyone will welcome or accept the trials of henry kissinger as faithful portraiture     but ,0
114,the horrors of the killing field and the barbarism of       ethnic cleansing ,0
115,entrapment in the maze of modern life ,1
116,a predictably efficient piece of business notable largely for its overwhelming creepiness     for an eagerness to create images you wish you had n     t seen ,1
117,that old adage about women being unknowable gets an exhilarating new interpretation in morvern callar     ,1
118,it would be better as a diary or documentary ,0
119,    why bother with a contemptible imitator starring a            snl            has     been acting like an 8     year     old channeling roberto benigni     ,0
120,is actually a compelling look at a young woman      s tragic odyssey     ,1
121,fairly slow paced ,0
122,poetic force and buoyant feeling ,1
123,the part where nothing      s happening     or the part where something      s happening ,0
124,pack your knitting needles     ,0
125,that plays better only for the film      s publicists or for people who take as many drugs as the film      s characters ,0
126,caliber cast ,1
127,out ballsy and stylish ,1
128,is a solid action pic that returns the martial arts master to top form ,1
129,the entire cast is first     rate     especially sorvino     ,1
130,grade     school audience ,0
131,miss you     ,1
132,a jerry bruckheimer flick any day of the week ,1
133,a sensitive     modest comic tragedy that works as both character study and symbolic examination ,1
134,one splendidly cast pair ,1
135,is one helluva singer     ,1
136,consider it       perfection           ,1
137,beautifully detailed performances by all of the actors ,1
138,remains a disquieting and thought     provoking film ,1
139,hard to believe these jokers are supposed to have pulled off four similar kidnappings before ,0
140,the film boasts at least a few good ideas and features some decent performances     but the result is disappointing     ,1
141,has tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers     ,1
142,strained caper movies that      s hardly any fun to watch ,0
143,off too far ,0
144,rent those movies instead     ,0
145,interested in the sights and sounds of battle ,1
146,is a sea of constant smiles and frequent laughter ,1
147,banged their brains into the ground so frequently ,0
148,the tuxedo was n     t just bad     ,0
149,over     blown ,0
150,crafted here a worldly     wise and very funny script ,1
151,a superfluous sequel           plagued by that old familiar feeling of       let      s get this thing over with           everyone has shown up at the appointed time and place     but visible enthusiasm is mighty hard to find     ,0
152,just the right tone ,1
153,sweet     funny     ,1
154,jerking off in all its byzantine incarnations ,0
155,most audacious     outrageous ,1
156,endearing about it     ,1
157,is too busy hitting all of its assigned marks to take on any life of its own     ,0
158,nickleby with all the halfhearted zeal of an 8th grade boy delving ,0
159,the cast           keeps this pretty watchable     and casting mick jagger as director of the escort service was inspired ,1
160,any naked teenagers horror flick ,0
161,a strength ,1
162,    its apparent glee is derived from a lobotomy     having had all its vital essence scooped out and discarded     ,0
163,this film     which may be why it works as well as it does ,1
164,    and not strictly in the knowledge imparted ,1
165,stroke ,0
166,followed by the bad idea ,0
167,an awful sour taste ,0
168,what a film can be ,1
169,what once was conviction is now affectation ,0
170,noisy and pretentious ,0
171,overstylized     puréed mélange ,0
172,by which all the queen      s men is allegedly            inspired            was a lot funnier and more deftly enacted than what      s been cobbled together onscreen ,0
173,low     grade dreck ,0
174,from a philosophical emptiness and maddeningly sedate pacing ,0
175,a bland animated sequel that ,0
176,     s strongest and most touching movie of recent years     ,1
177,for kids     of all ages     that like adventure ,1
178,is painful to watch ,0
179,a movie so sloppy     so uneven     so damn unpleasant that i ca n     t believe any viewer     young or old     ,0
180,fixating on its body humor and reinforcement of stereotypes ,0
181,frank capra played this story straight     ,1
182,tastelessness and gall ,0
183,in the solemnity with which it tries to pump life into overworked elements from eastwood      s dirty harry period ,0
184,intelligent observations ,1
185,and     too     short ,0
186,efficient ,1
187,do n     t know if frailty will turn bill paxton into an a     list director ,0
188,ultimately disappoint the action ,0
189,wizened ,1
190,lacks the spirit of the previous two     and makes all those jokes about hos and even more unmentionable subjects seem like mere splashing around in the muck ,0
191,can be gleaned from this three     hour endurance test built around an hour      s worth of actual material ,0
192,predicament ,0
193,repellent to fully endear itself to american art house audiences     but ,1
194,     ll cheer ,1
195,using a plot that could have come from an animated     movie screenwriting textbook ,0
196,classic cinema ,1
197,so impersonal ,0
198,is a no     bull throwback to 1970s action films     ,1
199,too     frosty exterior ,0
200,worse than you can imagine ,0
