,comment_text,target
0,it      s simply unbearable ,0
1,their culture      s manic mix of millennial brusqueness and undying     traditional politesse ,1
2,some interesting storytelling devices ,1
3,an incredibly heavy     handed     manipulative dud that feels all too familiar ,0
4,this is a serious work by an important director who has something new to say about how     in the flip     flop of courtship     we often reel in when we should be playing out ,1
5,falters in its recycled aspects     implausibility     and sags in pace ,0
6,fails to provoke them     ,0
7,is sentimental ,1
8,to provide an enjoyable 100 minutes in a movie theater ,1
9,high     profile ,1
10,loses its fire midway     nearly flickering out by its perfunctory conclusion ,0
11,the picture in some evocative shades ,1
12,turns the marquis de sade into a dullard ,0
13,be even worse than its title ,0
14,is     in a word     brilliant ,1
15,a skillful filmmaker can impart a message without bludgeoning the audience over the head ,1
16,purr ,1
17,bracingly nasty ,0
18,that the movie has no idea of it is serious or ,0
19,if considerably less ambitious ,0
20,best ,1
21,as tawdry trash ,0
22,fused with solid performances and eerie atmosphere ,1
23,delicious dialogue ,1
24,a compelling story of musical passion against governmental odds ,1
25,there are n     t too many films that can be as simultaneously funny     offbeat and heartwarming     without a thick shmear of the goo     at least         but ,1
26,this silly     outrageous     ingenious thriller ,1
27,small in scope     ,0
28,makes the grade as tawdry trash     ,0
29,low     rent            ,0
30,the locale           remains far more interesting than the story at hand     ,0
31,zhuangzhuang creates delicate balance of style     text     and subtext that      s so simple and precise that anything discordant would topple the balance     ,1
32,i mind ugly ,0
33,    the movie is a disaster     ,0
34,the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type ,1
35,it      s just weirdness for the sake of weirdness     and ,0
36,like i already mentioned           it      s robert duvall     ,1
37,the plot so bland that even as rogue cia assassins working for chris cooper      s agency boss close in on the resourceful amnesiac     we do n     t feel much for damon     bourne or his predicament ,0
38,struggling nobody ,0
39,visually smart ,1
40,feels comfortable with taking insane liberties and doing the goofiest stuff out of left field ,1
41,much has been written about those years when the psychedelic      60s grooved over into the gay      70s     but words do n     t really do the era justice     ,1
42,the intrigue of academic skullduggery and politics ,1
43,a genial romance ,1
44,there      s an excellent 90     minute film here ,1
45,a moldy     oldie     not     nearly       as     nasty       as     it ,0
46,brown sugar is such a sweet and sexy film ,1
47,parapsychological phenomena and the soulful nuances ,1
48,like schindler      s list ,1
49,cranked out on an assembly line ,0
50,rare movie ,1
51,does n     t remake andrei tarkovsky      s solaris so much as distill it     ,0
52,for devotees of french cinema ,1
53,that this film asks the right questions at the right time in the history of our country ,1
54,finding the characters in slackers or their antics amusing     let alone funny ,1
55,reverent     and subtly different ,1
56,it achieves some kind of goofy grandeur ,1
57,highly uneven and inconsistent ,0
58,to mention leaving you with some laughs and a smile on your face ,1
59,the integrity ,1
60,does n     t manage to hit all of its marks ,0
61,sweetly conspiratorial ,1
62,a step further     richer ,1
63,leaving the theater with a smile on your face ,1
64,make like the title and dodge this one     ,0
65,interesting            ,1
66,best espionage picture ,1
67,you wrong on both counts ,0
68,has no affect on the kurds ,1
69,the film above anything sandler      s been attached to before ,1
70,commander     in     chief ,1
71,    tender hug ,1
72,it      s a fine     focused piece of work that reopens an interesting controversy and never succumbs to sensationalism     ,1
73,needs more impressionistic cinematography and exhilarating point     of     view shots and fewer slow     motion       grandeur       shots and quick     cut edits that often detract from the athleticism     ,0
74,     s such a mechanical endeavor     that     it never bothers to question why somebody might devote time to see it ,0
75,for violence ,0
76,cranky ,0
77,but a tedious picture ,0
78,wondering what all that jazz was about            chicago            in 2002 ,0
79,low     budget filmmaking ,0
80,connection or identification frustratingly ,0
81,should have gone straight to video     ,0
