,comment_text,target
0,of mediocre acting ,0
1,just about the best straight     up     old     school horror film of the last 15 years ,1
2,romp from robert rodriguez     ,1
3,unique residences ,1
4,of the film      s problems ,0
5,pompous and garbled     ,0
6,to sustain a good simmer for most of its running time ,1
7,crocodile hunter steve irwin do what he does best ,1
8,to and wai ka fai are     sure to find an enthusiastic audience among american action     adventure buffs     but the film      s interests ,0
9,a ponderous and pretentious endeavor that      s unfocused and tediously exasperating ,0
10,of mindless pace in collision ,0
11,an ill     conceived ,0
12,weightless that a decent draft in the auditorium might blow it off the screen ,0
13,a very funny romantic comedy about two skittish new york middle     agers who stumble into a relationship and then struggle furiously with their fears and foibles     ,1
14,stinks from start to finish     like a wet burlap sack of gloom     ,0
15,like a ruse     a tactic to cover up the fact that the picture is constructed around a core of flimsy            or     worse yet     nonexistent            ideas ,0
16,a few points about modern man and his problematic quest for human connection ,1
17,should drop everything and run to ichi     ,1
18,at a snail      s pace ,1
19,     s a frankenstein     monster of a film that does n     t know what it wants to be ,0
20,may just scare the pants off you     ,1
21,is little more than a mall movie designed to kill time     ,0
22,is the film roman polanski may have been born to make ,1
23,perfect medium ,1
24,schneider      s performance is so fine ,1
25,quite fun in places ,1
26,of martha stewart decorating program run amok ,0
27,engaging criminal ,1
28,in a sea of visual and verbal clichés ,0
29,completely contradicts everything kieslowski      s work aspired to     including the condition of art ,0
30,can only love the players it brings to the fore for the gifted but no     nonsense human beings they are and for the still     inestimable contribution they have made to our shared history     ,1
31,torture and ,0
32,terrific special effects and ,1
33,take on a striking new significance for anyone who sees the film ,1
34,a family     oriented non     disney film that is actually funny without hitting below the belt ,1
35,if you like peace     you      ll like promises     ,1
36,are uncomfortably strained     ,0
37,the movie has a script     by paul pender     made of wood     and it      s relentlessly folksy     a procession of stagy set pieces stacked with binary oppositions     ,0
38,simply stupid     irrelevant and deeply ,0
39,followed through on her defiance of the saccharine ,1
40,dignified ceo      s meet at a rustic retreat and pee against a tree     ,0
41,an unbalanced mixture of graphic combat footage and ,0
42,inspire a trip to the video store            in search of a better movie experience ,0
43,    cinema paradiso stands as one of the great films about movie love     ,1
44,needs to stay afloat in hollywood ,0
45,the movie tries to make sense of its title character ,0
46,be this good ,1
47,dumb story ,0
48,beautifully read ,1
49,lagging ,0
50,a depressingly retrograde ,0
51,have abandoned their slim hopes and dreams ,0
52,barely give a thought to the folks who prepare and deliver it ,0
53,pale xerox of other     better crime movies ,0
54,month ,1
55,think they ,0
56,a sad     soggy potboiler that wastes the talents of its attractive young leads ,0
57,wonderfully speculative character ,1
58,is nothing funny in this every     joke     has       been     told     a       thousand     times       before movie     ,0
59,most enjoyable releases ,1
60,ah     nuld      s ,0
61,is way     way off     ,0
62,create images you wish you had n     t seen ,0
63,gets sillier     not scarier     ,0
64,majidi shoe     loving ,1
65,manages never to grow boring           which proves that rohmer still has a sense of his audience     ,1
66,a giant step backward for a director i admire ,0
67,quietly vulnerable ,1
68,    has stopped challenging himself ,0
69,a dim     witted and lazy spin     off of the animal planet documentary series     crocodile hunter ,0
70,afraid to show this movie to reviewers before its opening     afraid of the bad reviews they thought they      d earn ,0
71,into parapsychological phenomena and the soulful nuances ,1
72,diggs and lathan are among the chief reasons brown sugar is such a sweet and sexy film     ,1
73,rally to its cause     ,1
74,a touching drama about old age and grief with a tour de ,1
75,the match that should be used to burn every print of the film ,0
76,the improperly hammy performance from poor stephen rea ,0
77,surprisingly funny ,1
78,a wild ride ,1
79,of irreparable damage ,0
80,take on courtroom movies     a few nifty twists that are so crucial to the genre and another first     rate performance by top     billed star bruce willis     ,1
81,it      s an interesting effort     particularly for jfk conspiracy nuts         and barry      s cold     fish act makes the experience worthwhile     ,1
82,such a tragedy ,0
83,to get bogged down in earnest dramaturgy ,0
84,full of teenagers fixating on its body humor and reinforcement of stereotypes ,0
85,exceptional film ,1
86,given relatively dry material from nijinsky      s writings to perform ,0
87,attempts to be grandiloquent     but ,0
88,crafted     and well executed ,1
89,boll uses a lot of quick cutting and blurry step     printing to goose things up     but dopey dialogue and sometimes inadequate performances kill the effect ,0
90,complete with loads of cgi and bushels of violence     but not a drop ,0
91,talented enough and ,1
92,of clever ideas and visual gags ,1
93,this comic slugfest ,1
94,filmed more irresistibly than in       baran ,1
95,an interest ,1
96,all the right ways ,1
97,low     tech magic realism ,0
98,visually ,1
99,anchoring performance ,1
100,conjured up only 10 minutes prior to filming ,0
101,an unendurable viewing experience ,0
102,it      s endlessly inventive     consistently intelligent and sickeningly savage     ,1
103,too     frosty ,0
104,genuine narrative ,1
105,less a study in madness or love than a study in schoolgirl obsession     ,0
106,it falls into the trap of pretention almost every time ,1
107,try and evade ,0
108,ticking time bombs and other hollywood     action cliches ,0
109,slow down     shake off your tensions and take this picture at its own breezy     distracted rhythms ,1
110,this hastily mounted production exists only to capitalize on hopkins       inclination to play hannibal lecter again     even though harris has no immediate inclination to provide a fourth book     ,0
111,is long on narrative and     too     short ,0
112,the cartoons look almost shakespearean            both in depth and breadth            after watching this digital     effects     heavy     supposed family     friendly comedy     ,1
113,when all is said and done     she loves them to pieces ,1
114,the familiar     funny surface ,1
115,it can be a bit repetitive ,0
116,know whether it wants to be a suspenseful horror movie or a weepy melodrama ,0
117,to be bored by as your abc      s ,0
118,huge action sequence ,1
119,it      s soulful and unslick     and that      s apparently just what     aniston     has always needed to grow into a movie career ,1
120,works better in the conception than it does in the execution           winds up seeming just a little too clever     ,0
121,done his homework ,1
122,destined to fill the after     school slot at shopping mall theaters across the country     ,1
123,a spooky yarn of demonic doings on the high seas that works better the less the brain is engaged ,0
124,a wildly entertaining scan of evans       career     ,1
125,leaves him shooting blanks ,0
126,supremely good ,1
127,to like any of these despicable characters ,0
128,a life interestingly lived ,1
129,a new favorite musical ,1
