,comment_text,target
0,the thrills ,1
1,picture that does not move     ,0
2,muted ,0
3,is a dud ,0
4,is a lumbering load of hokum but ,0
5,a good     natured ensemble comedy that tries hard to make the most of a bumper cast     but never quite gets off the ground     ,0
6,he      ll go to weave a protective cocoon around his own ego ,0
7,and unoriginal mess ,0
8,the right movie ,1
9,is never much worse than bland or better than inconsequential ,0
10,a sluggish pace and lack of genuine narrative hem the movie in every bit as much as life hems in the spirits of these young women     ,0
11,    grant     goes beyond his usual fluttering and stammering and captures the soul of a man in pain who gradually comes to recognize it and deal with it     ,1
12,worth a summertime look     see ,1
13,recite bland police procedural details     fiennes wanders around ,0
14,it      s coherent     well shot     and tartly acted     but it wears you down like a dinner guest showing off his doctorate     ,0
15,a worthwhile effort ,1
16,it seeks to rely on an ambiguous presentation ,0
17,improvise and scream ,1
18,do well to check this one out ,1
19,this quality band may pick up new admirers ,1
20,    luridly colored     uni     dimensional nonsense machine that strokes the eyeballs while it evaporates like so much crypt mist in the brain ,0
21,adding ,1
22,raw emotions ,1
23,real filmmaker      s ,1
24,is so bad it does n     t improve upon the experience of staring at a blank screen ,0
25,proves that elegance is more than tattoo deep ,1
26,picked me up     swung me around     and dropped me back in my seat with more emotional force than any other recent film ,1
27,    involving aragorn      s dreams of arwen     this is even better than the fellowship     ,1
28,the film is visually dazzling ,1
29,this is rote spookiness     with nary an original idea     or role     or edit     or score     or anything     really     in sight     and ,0
30,boredom to the point of collapse     ,0
31,the film     while it      s not completely wreaked ,0
32,as much as i laughed throughout the movie     i can not mount a cogent defense of the film as entertainment     or even performance art     although the movie does leave you marveling at these guys       superhuman capacity to withstand pain     ,1
33,wishing that you and they were in another movie ,0
34,multilayered ,1
35,mind and spirit ,1
36,of justice ,1
37,stylish thriller     ,1
38,bad     movie way ,0
39,is deadly dull ,0
40,constantly defies expectation ,1
41,original is its content     look     and style ,1
42,even accepting this in the right frame of mind can only provide it with so much leniency     ,0
43,he or anyone else ,0
44,seems intimidated by both her subject matter and the period trappings of this debut venture into the heritage business     ,1
45,randomness usually achieved only by lottery drawing ,0
46,slickly staged ,1
47,are also ,1
48,explicit ,1
49,has made the near     fatal mistake of being what the english call       too clever by half     ,0
50,the filmmakers want nothing else than to show us a good time     and in their cheap     b movie way     they succeed ,1
51,real     life hollywood fairy     tale ,1
52,damaged     goods people ,0
53,such a dungpile ,0
54,much of the lady and the duke is about quiet     decisive moments between members of the cultural elite as they determine how to proceed as the world implodes     ,1
55,     ve got to love a disney pic with as little cleavage as this one has     and a heroine as feisty and principled as jane     ,1
56,laborious whine     the bellyaching of a paranoid and unlikable man ,0
57,for but a few seconds ,0
58,with the same sort of good     natured fun found in films like tremors     eight legged freaks is prime escapist fare     ,1
59,a breathtaking adventure for all ages     spirit tells its poignant and uplifting story in a stunning fusion of music and images     ,1
60,enchantment ,1
61,the most oddly honest hollywood document ,1
62,is absolutely and completely ridiculous and an insult to every family whose mother has suffered through the horrible pains of a death by cancer     ,0
63,for most of the distance the picture provides a satisfyingly unsettling ride into the dark places of our national psyche     ,1
64,           snl            has     been ,0
65,the light of the exit sign ,0
66,come from a xerox machine rather than     writer     director     franc ,0
67,landscape to create a feature film that is wickedly fun to watch ,1
68,elevates the material above pat inspirational status ,1
69,in the wrong hands     i   e    peploe      s     it      s simply unbearable ,0
70,with enough negatives ,0
71,bite ,0
72,and they succeed merrily at their noble endeavor     ,1
73,has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim ,1
74,that between the son and his wife     and the wife and the father     and between the two brothers     ,1
75,feels at times like a giant commercial for universal studios     where much of the action takes place     ,0
76,laughed that hard in years ,1
77,moving portrait ,1
78,features fincher      s characteristically startling visual style and an almost palpable sense of intensity     ,1
79,attracting ,1
80,as generic as its title ,0
81,is a greater attention to the parents            and particularly the fateful fathers            in the emotional evolution of the two bewitched adolescents     ,1
82,high     octane ,1
83,a poor fit with kieslowski      s lyrical pessimism ,0
84,most touching movie ,1
85,one     dimensional characters ,0
86,amusing ,1
87,what      s invigorating about it is that it does n     t give a damn     ,1
88,graces ,1
89,atmospheric weirdness ,1
90,a disappointment ,0
91,have always appreciated a smartly written motion picture ,1
92,riveting and ,1
93,dragged through a sad     sordid universe of guns     drugs     avarice and damaged dreams ,0
94,a burst of color     music     and dance that only the most practiced curmudgeon could fail to crack a smile at     ,1
95,    potent exploration ,1
96,fascinate in their recklessness ,1
97,of familial separation and societal betrayal ,1
98,bad behavior ,0
99,    and totally disorientated ,0
100,got it right ,1
101,unrelenting bleak insistence ,0
102,the number of tumbleweeds blowing through the empty theaters ,0
103,rates as an exceptional thriller     ,1
104,hampered by its predictable plot and paper     thin supporting characters ,0
105,emphasizing the disappointingly generic nature of the entire effort ,0
