,comment_text,target
0,suffering ,0
1,fresh     faced ,1
2,also one of the most curiously depressing ,0
3,stevens is     so stoked to make an important film about human infidelity and happenstance that he tosses a kitchen sink onto a story already overladen with plot conceits     ,0
4,so formulaic and forgettable that it      s hardly over before it begins to fade from memory ,0
5,if it is generally amusing from time to time ,1
6,for an absurd finale of twisted metal     fireballs and revenge ,0
7,are woven together skilfully ,1
8,just about the surest bet ,1
9,even in those moments where it      s supposed to feel funny and light ,0
10,your least favorite ,0
11,most battered women ,0
12,they      ll probably run out screaming     ,0
13,of thoughtful     subjective filmmaking ,1
14,this 100     minute movie only has about 25 minutes of decent material     ,0
15,peaked ,1
16,the gags that fly at such a furiously funny pace that the only rip off that we were aware of was the one we felt when the movie ended so damned soon     ,1
17,is hugely overwritten     with tons and tons of dialogue            most of it given to children     ,0
18,is effective ,1
19,important and exhilarating ,1
20,is remembering ,1
21,insane comic ,1
22,will just as likely make you weep ,1
23,a classy     sprightly spin on film     ,1
24,    i love it           hell     i dunno     ,1
25,unimaginable demons ,0
26,the strain of its plot contrivances and ,0
27,we care about the story ,1
28,i had a dream that a smart comedy would come along to rescue me from a summer of teen     driven     toilet     humor codswallop     and its name was earnest     ,1
29,visceral     nasty journey ,0
30,the slippery slope ,0
31,a pitch     perfect holden ,1
32,it is also a testament to the integrity and vision of the band     ,1
33,street     smart ,1
34,substantive movie ,1
35,youthful affluence not as a lost ideal but a starting point ,1
36,ends up as a bitter pill ,0
37,inside the wave ,1
38,all comedy is subversive     but this unrelenting bleak insistence on opting out of any opportunity for finding meaning in relationships or work just becomes sad ,0
39,troubled ,0
40,updating works surprisingly well ,1
41,     s not so much a movie as a joint promotion for the national basketball association and teenaged rap and adolescent poster     boy lil       bow wow     ,0
42,a powerful 1957 drama ,1
43,more confused     less interesting ,0
44,as     nasty       ,0
45,an uneasy mix of sensual delights and simmering violence ,1
46,delicate balance ,1
47,the u   s    ,1
48,the trouble is     its filmmakers run out of clever ideas and visual gags about halfway through     ,0
49,that tell the best story ,1
50,most sincere and artful ,1
51,a work of extraordinary journalism     but ,1
52,squeezed the life out of whatever idealism american moviemaking ever had ,0
53,a splash even greater ,1
54,that serves as a painful elegy and sobering cautionary tale ,1
55,skillfully assembled     highly polished ,1
56,with an obvious rapport with her actors and a striking style behind the camera     hélène angel is definitely a director to watch     ,1
57,drains ,0
58,avoids all the comic possibilities of its situation     and becomes one more dumb high school comedy about sex gags and prom dates     ,0
59,    absurd     ,0
60,it irrigates our souls     ,1
61,maintains an appealing veneer ,1
62,at his 12th oscar nomination ,1
63,    albeit a visually compelling one     ,1
64,make a delightful comedy centering on food ,1
65,a relentless     bombastic and ultimately empty world war ii action ,0
66,the stale     standard     connect     the     dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ,0
67,trite     predictable rehash ,0
68,its absurdity ,0
69,attractive ,1
70,was feeling this movie until it veered off too far into the exxon zone     and left me behind at the station looking for a return ticket to realism     ,0
71,a good match of the sensibilities of two directors ,1
72,your interest until the end and ,1
73,an immensely entertaining look ,1
74,you      d have a 90     minute     four     star movie ,1
75,angel presents events partly from the perspective of aurelie and christelle     and infuses the film with the sensibility of a particularly nightmarish fairytale     ,1
76,of a particular theatrical family ,1
77,     ve already seen this exact same movie a hundred times ,0
78,elevates the experience ,1
79,the tuxedo miscalculates badly by forcing the star to play second fiddle to the dull effects that allow the suit to come to life     ,0
80,the greatest natural sportsmen of modern times ,1
81,it      s certainly an honest attempt to get at something ,1
82,     s more enjoyable than i expected     ,1
83,the jokes are sophomoric     stereotypes are sprinkled everywhere and the acting ranges from bad to bodacious ,0
84,hard to take her spiritual quest at all seriously ,0
85,is a light     fun cheese puff of a movie ,1
86,in its place a sweetness     clarity and emotional openness that recalls the classics of early italian neorealism ,1
87,engaging     wide     eyed actress ,1
88,sweet     and intermittently hilarious ,1
89,plot holes sink this       sub       ,0
90,begins as a seven rip     off     only to switch to a mix of the shining     the thing     and any naked teenagers horror flick from the 1980s ,0
91,remember it     ,1
92,is absolutely and completely ridiculous and an insult to every family whose mother has suffered through the horrible pains of a death by cancer ,0
93,how resolutely unamusing     how thoroughly unrewarding all of this is ,0
94,of oral storytelling frozen onto film ,1
95,          while certainly clever in spots     this too     long     spoofy update of shakespeare      s macbeth does n     t sustain a high enough level of invention     ,0
96,have fun in this cinematic sandbox ,1
97,a wooden delivery ,0
98,has rewards ,1
99,appreciates the art and reveals a music scene that transcends culture and race ,1
100,tykwer      s surface flash is n     t just a poor fit with kieslowski      s lyrical pessimism ,0
101,will keep them awake ,1
102,gets the tone just right            ,1
103,turn a larky chase movie into an emotionally satisfying exploration of the very human need to be somebody     and to belong to somebody ,1
104,blow it off the screen ,0
105,the dirty jokes provide the funniest moments in this oddly sweet comedy about jokester highway patrolmen     ,1
106,excruciating end ,0
107,sucks ,0
108,a heavy     handed indictment of parental failings and ,0
109,star trek was kind of terrific once     but now it is a copy of a copy of a copy     ,0
110,a loud     low     budget and tired formula film ,0
111,is too optimistic a title     ,0
112,flakeball ,0
113,mr    scorsese      s ,1
114,a handful ,1
115,broad streaks of common sense emerge with unimpeachable clarity     ,1
116,great cast ,1
117,an enjoyable choice ,1
118,dubious product ,0
119,a guiltless film for nice evening out     ,1
120,a decent       intro       documentary ,1
121,attempts     in vain     ,0
122,kung pow seems like some futile concoction that was developed hastily after oedekerk ,0
123,hampered ,0
124,    this will be an enjoyable choice for younger kids     ,1
125,little style ,0
126,does its best ,1
127,is one of the outstanding thrillers of recent years     ,1
