,comment_text,target
0,all of dean      s mannerisms and self     indulgence     but none of his sweetness and vulnerability ,0
1,one scene after another in this supposedly funny movie ,0
2,replaced by the forced funniness found in the dullest kiddie flicks ,0
3,just as the lousy tarantino imitations have subsided     here comes the first lousy guy ritchie imitation     ,0
4,recommended            as visually bland as a dentist      s waiting room     complete with soothing muzak and ,0
5,morphs into a mundane      70s disaster flick     ,0
6,i would leave the theater with a lower i   q    than when i had entered ,0
7,party     hearty ,1
8,go wrong ,0
9,worse than bland ,0
10,limited and so embellished by editing that there      s really not much of a sense of action or ,0
11,dull     inconsistent     dishonest ,0
12,the type of film about growing up that we do n     t see often enough these days     ,1
13,a few tasty morsels under your belt ,1
14,new york metropolitan area ,1
15,life      s harshness ,0
16,the gifted crudup has the perfect face to play a handsome blank yearning to find himself     and ,1
17,the rage and alienation that fuels the self     destructiveness of many young people ,0
18,is holofcener      s deep     uncompromising curtsy to women she knows     and very likely is ,1
19,insurance company office ,1
20,to drown yourself in a lake afterwards ,0
21,depth or complexity ,0
22,a determined     ennui     hobbled slog ,0
23,has a whip     smart sense of narrative bluffs     ,1
24,    kline      s     utterly convincing            and deeply appealing            as a noble teacher who embraces a strict moral code     and as a flawed human being who ca n     t quite live up to it ,1
25,is part of the fun ,1
26,is painfully formulaic and stilted ,0
27,the french director has turned out nearly 21     2 hours of unfocused     excruciatingly tedious cinema that     half an hour in     starts making water torture seem appealing     ,0
28,headed down the toilet with the ferocity of a frozen burrito ,0
29,it lacks the utter authority of a genre gem ,0
30,having two guys yelling in your face for two hours ,0
31,about the worst thing chan has done in the united states ,0
32,what sets ms    birot      s film apart from others in the genre ,1
33,spliced together bits and pieces of midnight run and 48 hours     and     for that matter     shrek     ,0
34,its execution and skill ,1
35,it      s that painful     ,0
36,being memorable ,1
37,decrepit ,0
38,it      s no lie            big fat liar is a real charmer ,1
39,the film      s most improbable feat     ,0
40,going for it     not least the brilliant performances by testud ,1
41,above easy     cynical potshots at morally bankrupt characters ,0
42,lack a strong     minded viewpoint     or a sense of humor     ,0
43,    there is little else to recommend            never again                ,0
44,succeeds in delivering a dramatic slap in the face that      s simultaneously painful and refreshing ,1
45,understand why anyone in his right mind would even think to make the attraction a movie ,0
46,well     done supernatural thriller with keen insights into parapsychological phenomena and the soulful nuances of the grieving process     ,1
47,the movie     shot on digital videotape rather than film     is frequently indecipherable ,0
48,is the best star trek movie in a long time     ,1
49,     s because relatively nothing happens     ,0
50,worthless     from its pseudo     rock     video opening to the idiocy of its last frames     ,0
51,the dispassionate gantz brothers as ordinary     pasty lumpen ,0
52,voice is rather unexceptional ,0
53,a mess from start to finish ,0
54,nair      s attention to detail ,1
55,no charm     no laughs     no fun     no reason to watch     ,0
56,to have their kids ,1
57,all too familiar           basically the sort of cautionary tale that was old when       angels with dirty faces       appeared in 1938 ,0
58,wickedly fun ,1
59,sleep     inducingly slow     paced crime drama ,0
60,is almost entirely witless and inane     carrying every gag two or three times beyond its limit to sustain a laugh ,0
61,by the final whistle you      re convinced that this mean machine was a decent tv outing that just does n     t have big screen magic     ,0
62,does n     t allow an earnest moment to pass without reminding audiences that it      s only a movie ,0
63,     s just that it      s so not     at     all     good ,0
64,on too many tried     and     true shenanigans that hardly distinguish it from the next teen comedy ,0
65,john hughes comedy ,1
66,spreads itself too thin     ,0
67,delightful cast ,1
68,    we have absolutely no idea who the main characters are until the film is well under way            and yet it      s hard to stop watching     ,1
69,more predictable than their consequences ,0
70,an artist who has been awarded mythic status in contemporary culture ,1
71,cal is an unpleasantly shallow and immature character with whom to spend 110 claustrophobic minutes     ,0
72,animated by an energy that puts the dutiful efforts of more disciplined grade     grubbers to shame ,1
73,the same sledgehammer appeal as pokemon videos ,0
74,with more holes than clyde barrow      s car ,0
75,though occasionally fun enough to make you ,1
76,    but wanes in the middle ,0
77,a bizarre piece of work     with premise and dialogue ,1
78,walked away from this new version of e   t    just as i hoped i would            with moist eyes     ,1
79,is nothing distinguishing in a randall wallace film ,0
80,romance     novel ,1
81,that cleverly captures the dry wit that      s so prevalent on the rock ,1
82,at lengthy dialogue scenes ,0
83,stuffy     ,0
84,it belongs on the big screen ,1
85,it just seems manufactured to me and artificial ,0
86,in this properly intense     claustrophobic tale of obsessive love ,1
87,is more fully ,1
88,and refined piece ,1
89,is always a joy to watch     even when her material is not first     rate ,1
90,the plot has a number of holes     ,0
91,    denis           story becomes a hopeless     unsatisfying muddle ,0
92,on the granger movie gauge of 1 to 10     the powerpuff girls is a fast     frenetic     funny     even punny 6            aimed specifically at a grade     school audience     ,1
93,suffers from a philosophical emptiness and maddeningly sedate pacing ,0
94,the slightly flawed     and fairly unbelievable     finale     ,0
95,a guy with his talent ended up in a movie this bad ,0
96,clunker ,0
97,that it feels more like the pilot episode of a tv series than a feature film ,0
98,          there      s a choppy     surface     effect feeling to the whole enterprise     ,0
99,you      re an absolute raving star wars junkie ,0
100,unimaginative ,0
101,ca n     t disguise the fact that it      s inauthentic at its core and that its story just is n     t worth telling     ,0
102,weirdness ,0
103,to overcome the cultural moat surrounding its ludicrous and contrived plot ,0
104,is uncompromising     difficult and unbearably beautiful ,1
105,freshman ,1
106,developed hastily ,0
107,illuminating an era of theatrical comedy that     while past     ,1
108,a lightweight     uneven action comedy that freely mingles french     japanese and hollywood cultures     ,0
109,look down on their working     class subjects from their lofty perch     that finally makes sex with strangers     which opens today in the new york metropolitan area     so distasteful ,0
110,sweet gentle jesus ,1
111,one of the very best movies ever made about the life of moviemaking     ,1
112,your first instinct ,1
113,champion the fallibility of the human heart ,1
114,     s where the film ultimately fails ,0
115,it is hard to conceive anyone else in their roles     ,1
116,writer     director randall wallace has bitten off more than he or anyone else could chew     and his movie veers like a drunken driver through heavy traffic     ,0
117,that the children of varying ages in my audience never coughed     fidgeted or romped up and down the aisles for bathroom breaks ,1
118,     s a bad sign in a thriller when you instantly know whodunit     ,0
119,be a lot better if it pared down its plots and characters to a few rather than dozens           or if it were subtler           or if it had a sense of humor ,0
120,subtlest and most complexly evil uncle ralph ,0
121,stays there for the duration ,1
122,wince in embarrassment and others     ,0
123,horrible     ,0
124,life     altering ,1
125,anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother     daughter pair ,1
126,is one of the year      s worst cinematic tragedies ,0
127,get an ugly     mean     spirited lashing out by an adult who      s apparently been forced by his kids to watch too many barney videos     ,0
128,is unfocused     ,0
129,the plan to make enough into       an inspiring tale of survival wrapped in the heart     pounding suspense of a stylish psychological thriller       has flopped as surely as a soufflé gone wrong     ,0
130,i suspect it might deliver again and again ,1
131,has chosen to make his english     language debut with a film ,0
132,kong action cinema ,1
133,a sensitive     cultivated treatment of greene      s work as well as a remarkably faithful one     ,1
134,its apparent glee is derived from a lobotomy     having had all its vital essence scooped out and discarded     ,0
135,as if solondz had two ideas for two movies     could n     t really figure out how to flesh either out ,0
136,despicable characters ,0
137,in the soulful development of two rowdy teenagers ,1
138,a technological exercise that lacks juice and delight ,0
139,brady ,1
140,chilling advantage ,1
141,found myself strangely moved by even the corniest and most hackneyed contrivances     ,1
142,almost generic ,0
143,the subtitled costume drama is set in a remote african empire before cell phones     guns     and the internal combustion engine     but the politics that thump through it are as timely as tomorrow     ,1
144,a very moving and revelatory footnote ,1
